GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
FBgn0040091	1618.13816430751	-1.47305267344755	0.112465128772142	-13.0978614396291	3.38666171067384e-39	1.26293032575868e-36	chr2R	22641785	22643917	-	protein_coding	Ugt58Fa
FBgn0262733	551.049205466041	1.85754995127037	0.143393174683627	12.9542424551849	2.22319930257417e-38	7.94515850757445e-36	chr3L	4592446	4626196	-	protein_coding	Src64B
FBgn0023479	4584.75321807884	-1.44785739807769	0.11186135744054	-12.9433204746089	2.56307402052337e-38	8.79339434961157e-36	chr3L	9074642	9092131	+	protein_coding	Tequila
FBgn0052407	285.534784670639	-1.86794067139323	0.148210940015366	-12.603257702836	2.02600299395513e-36	6.68347218428968e-34	chr3L	5922054	5923567	+	protein_coding	CG32407
FBgn0051092	230.574621771462	1.95080030280113	0.15643681046786	12.4702127137904	1.08535937585378e-35	3.44782495062883e-33	chr3R	25698726	25740465	-	protein_coding	LpR2
FBgn0039419	2681.64820004943	-1.11967740680624	0.0904723138673854	-12.3759121320525	3.52862629289536e-35	1.08089384693441e-32	chr3R	26230247	26234700	+	protein_coding	CG12290
FBgn0261552	8903.62977454312	-1.63112303838048	0.133140316583346	-12.2511578779324	1.65614322929368e-34	4.89818637160411e-32	chr3R	9417939	9455500	+	protein_coding	ps
FBgn0034010	781.852495028266	-1.36781208404099	0.11482447281251	-11.9121999913242	1.02243504005837e-32	2.92314177952688e-30	chr2R	15325502	15326386	-	protein_coding	CG8157
FBgn0261673	95.3388983190457	2.40798626619121	0.203299356879093	11.8445345974375	2.29689908461789e-32	6.35500111250568e-30	chr2R	12659496	12670219	-	protein_coding	nemy
FBgn0031150	1189.25954357395	1.18524287690058	0.100784819452426	11.7601329579209	6.26355822033101e-32	1.6788293392431e-29	chrX	21053962	21082391	+	protein_coding	bves
FBgn0033913	7588.20927372125	-1.12609112949078	0.0971627301092587	-11.5897436004989	4.64520995619882e-31	1.20733229679749e-28	chr2R	14219897	14230620	+	protein_coding	CG8468
FBgn0264437	197.836508947753	2.1454384735847	0.185437411866698	11.5696096703881	5.87493317385563e-31	1.48203828918117e-28	chr2L	8590369	8594489	-	lincRNA	CR43855
FBgn0040827	316.742381220904	-1.72262561701965	0.149975508395647	-11.486046191457	1.55047087146755e-30	3.79953961845061e-28	chr3L	9096876	9097494	+	protein_coding	CG13315
FBgn0037290	101.937192923362	2.28148409860067	0.199476243552264	11.4373724809135	2.71998650162824e-30	6.48036784012928e-28	chr3R	4965444	4968485	+	protein_coding	CG1124
FBgn0016715	202.183710806775	-1.91129811593509	0.167996132797356	-11.3770363883351	5.44176812407304e-30	1.2614606810858e-27	chr3L	605164	606569	-	protein_coding	Reg-2
FBgn0031912	1975.09179774423	-1.09267486830075	0.0981226532770367	-11.1358063791418	8.39814721270107e-29	1.89555022745624e-26	chr2L	7426865	7430329	+	protein_coding	CG5261
FBgn0003748	1600.65215151542	1.04120236807131	0.0954993480770702	10.9027170241103	1.11866081594136e-27	2.46019328675104e-25	chr2R	21074017	21088945	+	protein_coding	Treh
FBgn0001224	866.042882593671	1.34915439571855	0.12382660440406	10.895513142847	1.21082079691903e-27	2.59630249379362e-25	chr3L	9381881	9382765	+	protein_coding	Hsp23
FBgn0035147	28915.9028793075	-1.11819742416955	0.10482195834745	-10.6675876104423	1.44324785469099e-26	2.94731829754395e-24	chr3L	648554	651311	+	protein_coding	Gale
FBgn0261362	8573.81484277382	1.37429590315375	0.129070247410694	10.6476583931913	1.78806226308357e-26	3.56656047220181e-24	chr2R	17887219	17889973	-	protein_coding	PPO1
FBgn0024315	135.234124462537	-1.90966797200144	0.180302355171875	-10.5914754700848	3.26405868373218e-26	6.36268893872066e-24	chr2R	16655322	16667675	-	protein_coding	Picot
FBgn0261596	24584.3057035696	-1.04695773378398	0.0989413844082995	-10.5815957604102	3.62727106150613e-26	6.91357864323068e-24	chr2R	22640525	22641419	-	protein_coding	RpS24
FBgn0032405	116.002919219642	1.94491333081648	0.185504223141702	10.4844692906577	1.0181566181592e-25	1.89841941607641e-23	chr2L	12063456	12066775	-	protein_coding	CG14946
FBgn0039109	663.673672415969	-1.24008932849183	0.118444335519286	-10.4698069608395	1.18885191120761e-25	2.16952826434632e-23	chr3R	23723330	23731499	+	protein_coding	CG10365
FBgn0260011	131.7733475217	1.89651488025483	0.181972316600758	10.4219966843403	1.96778034080767e-25	3.5161774964807e-23	chr2L	14047581	14048863	+	protein_coding	NimC4
FBgn0261584	263.563999356437	-1.76386401613837	0.173393168584892	-10.1726269295021	2.62725776590937e-24	4.50679797164093e-22	chr2R	22941876	22945147	+	protein_coding	CG42694
FBgn0053307	1496.22318613873	-1.30646106300707	0.130526936786105	-10.0091298790531	1.38969391117273e-23	2.3371381717899e-21	chr2L	13839261	13841520	-	protein_coding	CG33307
FBgn0063649	839.904531248908	-1.14800827722957	0.114904395036318	-9.99098665344106	1.66912000844576e-23	2.75308506008448e-21	chr3R	16154981	16171766	+	protein_coding	CG6006
FBgn0001137	667.625236905826	-1.27381945154683	0.12767152560676	-9.97731832131703	1.91574403804007e-23	3.10025219137164e-21	chr2L	8431085	8433598	-	protein_coding	grk
FBgn0259715	1168.7467051574	-1.57781642917482	0.158318549988091	-9.9660869133371	2.14514483952196e-23	3.40720505344071e-21	chr2L	6395852	6397249	-	protein_coding	CG42369
FBgn0038149	1500.13264166384	1.01091144748288	0.102077374941142	9.90338405612187	4.02422768403311e-23	6.27560015380945e-21	chr3R	13398525	13401862	-	protein_coding	GILT1
FBgn0031322	580.287432493937	-1.32754155472446	0.134839004944176	-9.84538231555528	7.17658514931649e-23	1.0798872074682e-20	chr2L	1185756	1196807	+	protein_coding	CG5001
FBgn0001225	607.720282537841	1.22164287869228	0.125002597153463	9.77293997493906	1.47119688471826e-22	2.17559580693595e-20	chr3L	9376417	9377427	-	protein_coding	Hsp26
FBgn0002868	158.212301712193	-1.71122707308562	0.175735426531315	-9.73751910392804	2.08584361762113e-22	3.03225096751465e-20	chr3R	9783406	9784370	-	protein_coding	MtnA
FBgn0039464	1233.51291620627	1.00615143225842	0.103512299677489	9.72011476310799	2.47502385180455e-22	3.53804659615461e-20	chr3R	26949691	26958491	-	protein_coding	CG6330
FBgn0265276	224.663354981489	1.58372312431074	0.163621021037846	9.67921550828376	3.69540614786674e-22	5.19598336561525e-20	chr3R	11765037	11779128	-	protein_coding	l(3)neo38
FBgn0000406	390.717673301672	-1.70769202130304	0.177818558718774	-9.60356463131505	7.72263934418245e-22	1.06833996217827e-19	chr2L	16788773	16790721	-	protein_coding	Cyt-b5-r
FBgn0030041	123.444757780033	-1.97687245188273	0.208613835097993	-9.47622889418683	2.63638949577777e-21	3.58925598496601e-19	chrX	8467442	8469012	-	protein_coding	CG12116
FBgn0033367	22435.8857439276	1.2642570852269	0.136222371391197	9.28083304023725	1.68158621295401e-20	2.21891768438562e-18	chr2R	9042260	9044709	-	protein_coding	PPO2
FBgn0036985	2821.01714978609	-1.21294629483894	0.132998860535495	-9.1199750881717	7.51416002457015e-20	9.61924634787137e-18	chr3L	20413603	20424309	+	protein_coding	zye
FBgn0039257	841.703273747529	-1.01387326590747	0.111675057095907	-9.07877991982361	1.0979870124359e-19	1.38491685377392e-17	chr3R	24984383	25022867	+	protein_coding	tnc
FBgn0039479	253.814343944181	1.31825102273809	0.145754088597466	9.04435021633425	1.50557921239607e-19	1.87150042097407e-17	chr3R	27075869	27082818	+	protein_coding	CG14257
FBgn0063498	486.275387655391	-1.25089574147526	0.138577331917226	-9.02669811988037	1.76929664829258e-19	2.1678939074865e-17	chr2R	18399485	18400375	+	protein_coding	GstE2
FBgn0037153	194.581109820095	1.47261646433199	0.163787209198753	8.99103459626686	2.44913939374784e-19	2.95862937748946e-17	chr3L	22136089	22247702	+	protein_coding	olf413
FBgn0051642	156.188390840951	1.60375790719318	0.179215434241102	8.94877114788905	3.59461532629902e-19	4.28208550745371e-17	chr2L	6118511	6120522	+	protein_coding	CG31642
FBgn0263232	437.725089776099	1.18650640959628	0.134266949547246	8.83692087738069	9.8392772384719e-19	1.12521974499165e-16	chr3L	13965202	13973067	+	protein_coding	Nxf3
FBgn0032004	1440.4614931961	-1.08846556495261	0.123891463558181	-8.78563811978426	1.55479378130686e-18	1.75466661345644e-16	chr2L	8216850	8218017	-	protein_coding	CG8292
FBgn0031327	1120.97146634239	1.10350280678473	0.126261658329737	8.73980922936158	2.33504392086258e-18	2.56765021913312e-16	chr2L	1240035	1243018	+	protein_coding	CG5397
FBgn0034389	170.98243656895	-1.6094459366185	0.185048544205315	-8.69742555138823	3.39498330790125e-18	3.63984647898363e-16	chr2R	18761757	18774824	+	protein_coding	Mctp
FBgn0033635	3795.15809254957	1.07611561535867	0.125561286659458	8.57044112869967	1.03089375881287e-17	1.07828972796804e-15	chr2R	11436242	11442216	+	protein_coding	CG7777
FBgn0034885	239.473728528039	1.36090679257004	0.159278422284802	8.54420060826968	1.29429041679918e-17	1.30601516528077e-15	chr2R	23607591	23614710	-	protein_coding	CG4019
FBgn0032598	472.928539647033	1.02358378389044	0.123126406782692	8.31327584907907	9.30957769347439e-17	8.97171324459885e-15	chr2L	16738849	16742610	+	protein_coding	ChLD3
FBgn0000116	957.325638200019	1.08050079897349	0.132651394826547	8.14541603868048	3.77980040702956e-16	3.60214978789917e-14	chr3L	9048780	9066027	-	protein_coding	Argk
FBgn0261284	76.284719413893	1.67303519612179	0.206693720722876	8.09427199951038	5.76078350695776e-16	5.37067827599747e-14	chrX	6986485	6987188	+	protein_coding	bou
FBgn0023549	266.291250446855	-1.30846261532507	0.163171653411685	-8.01893336230277	1.06667351177647e-15	9.83748248441593e-14	chrX	2189187	2205373	+	protein_coding	Mct1
FBgn0034438	108.799017371315	1.45443696212446	0.187558036229316	7.75459687766301	8.86245471646222e-15	7.8364200106285e-13	chr2R	19367247	19373702	-	protein_coding	CG9416
FBgn0031703	131.451280028389	-1.48939298900566	0.192463620682232	-7.73856889798792	1.00542061518649e-14	8.79948226168827e-13	chr2L	5339131	5342234	-	protein_coding	CG12512
FBgn0052625	223.149384687079	1.32005291176654	0.171522776228913	7.69607944081316	1.40304600526924e-14	1.21554803911053e-12	chrX	13756163	13756826	-	protein_coding	CG32625
FBgn0038198	92.4167183825659	1.63152954583235	0.212437319450812	7.68005146200366	1.59024693164211e-14	1.35045029036578e-12	chr3R	14089516	14092425	+	protein_coding	Npc2b
FBgn0050463	64.9163364713626	1.65857012208662	0.216007226956965	7.67830847815591	1.61202935290424e-14	1.35552703528036e-12	chr2R	16673234	16732916	-	protein_coding	CG30463
FBgn0000567	378.817044431818	-1.11951756575507	0.14607352606439	-7.66406888310191	1.8013320308109e-14	1.50000241051118e-12	chr3L	17558671	17619325	-	protein_coding	Eip74EF
FBgn0037646	60.0029670852898	-1.69205017803619	0.221355007520791	-7.64405647284606	2.10483018721211e-14	1.71934557292555e-12	chr3R	8980859	8982793	+	protein_coding	CAHbeta
FBgn0038528	230.918983839902	1.20404345235663	0.158130678694867	7.61423059898446	2.65266838917127e-14	2.14373389177754e-12	chr3R	17619099	17619688	+	protein_coding	CG14326
FBgn0033065	44.6514607786079	1.73212244908076	0.228362868385281	7.58495661456846	3.32598338612964e-14	2.6135970373941e-12	chr2R	6173683	6176195	+	protein_coding	Cyp6w1
FBgn0024984	175.211555069473	1.21628653134633	0.163447140075506	7.44146719718957	9.95731110440404e-14	7.29947498653619e-12	chrX	2187819	2188919	+	protein_coding	CG3457
FBgn0034718	715.336394752894	1.1789798065238	0.159261455009354	7.40279439525748	1.33348134408285e-13	9.69260126118527e-12	chr2R	22298213	22311937	-	protein_coding	wdp
FBgn0043364	1691.88322062996	-1.0257689875114	0.139369714595579	-7.360056598293	1.8383226845271e-13	1.30308212109e-11	chr2L	476445	479688	-	protein_coding	cbt
FBgn0004396	3535.47792517561	1.00077246050274	0.137583211485363	7.2739431628197	3.49142935132113e-13	2.35795193277806e-11	chr3L	15535394	15553214	+	protein_coding	CrebA
FBgn0035344	114.250751414324	-1.31358057811898	0.18460345824801	-7.11568781314062	1.11356093285564e-12	7.02280303022266e-11	chr3L	2476258	2478448	-	protein_coding	Cyp4d20
FBgn0267635	260.399719794338	1.07570636659243	0.152884030148068	7.03609373425475	1.97703965678355e-12	1.21121922401661e-10	chr3L	20404269	20407558	+	lincRNA	CR45973
FBgn0031547	388.817530628485	-1.19640518872339	0.171060260890905	-6.99405684577092	2.67049271866333e-12	1.60909024467595e-10	chr2L	3522520	3524056	-	protein_coding	Sr-CIV
FBgn0032638	187.693662653249	-1.21180216827045	0.174260979496584	-6.95395017158277	3.55197112103778e-12	2.08666139076309e-10	chr2L	17454262	17455923	-	protein_coding	SPH93
FBgn0033775	68.2280184210986	1.44850679242608	0.208552551587627	6.9455241923399	3.77057600770734e-12	2.18456034185832e-10	chr2R	12840812	12842558	-	protein_coding	Cyp9h1
FBgn0033782	232.610601304925	-1.16115727508197	0.168021361259421	-6.91077173984547	4.82024130876324e-12	2.70217056897139e-10	chr2R	12924566	12930644	+	protein_coding	sug
FBgn0039640	107.433794690023	-1.33919645522985	0.194197064376335	-6.89606951336103	5.34610430243031e-12	2.95829268399644e-10	chr3R	29138661	29145787	+	protein_coding	CG14516
FBgn0267252	158.761822995154	-1.15948773047975	0.169175676946916	-6.8537496134481	7.19389533824794e-12	3.95525899462517e-10	chr2L	9256562	9302494	+	protein_coding	Ggamma30A
FBgn0031258	214.375233367863	-1.1282910434996	0.165341575339394	-6.82400080671526	8.85393841487829e-12	4.77611508078057e-10	chr2L	458875	472200	-	protein_coding	CG4297
FBgn0030598	55.962610051466	1.4907025884997	0.218880663179018	6.81057233128212	9.72112210135689e-12	5.21112901645863e-10	chrX	14919251	14923493	-	protein_coding	CG9503
FBgn0035727	100.156222319451	1.29377092277765	0.190246109720955	6.80051184581541	1.04248098517016e-11	5.4190057029118e-10	chr3L	6971578	6972467	-	protein_coding	CG10063
FBgn0033724	225.413467052635	1.17841778354108	0.174784241984525	6.74212829578433	1.56083161612466e-11	7.96860284017931e-10	chr2R	12383044	12384520	+	protein_coding	CG8501
FBgn0263041	161.688908188167	-1.26263198901884	0.196742244415151	-6.41769637615055	1.3835183595079e-10	6.02357206573568e-09	chr3R	15637167	15638181	+	protein_coding	CG43336
FBgn0020248	52.4733609427989	1.35067243058215	0.217029696737882	6.22344522838928	4.86354654242147e-10	1.95843374151873e-08	chr3L	1475437	1489547	-	protein_coding	stet
FBgn0031548	79.9281559638276	-1.30435732287187	0.213233984963321	-6.1170236212405	9.53392390787359e-10	3.73390252775488e-08	chr2L	3525130	3527588	+	protein_coding	CG8852
FBgn0034391	97.2436869884519	1.18679783671575	0.196558692016724	6.03788021042984	1.56151912059051e-09	5.90081499295104e-08	chr2R	18783298	18794594	+	protein_coding	CG15080
FBgn0000079	236.498989025006	-1.02473288050097	0.170172942379988	-6.02171453445745	1.72579077857869e-09	6.49215241573221e-08	chr2R	17118635	17120303	-	protein_coding	Amy-p
FBgn0003447	54.9655601749589	1.29585522712718	0.220322954964412	5.88161695333332	4.06277713400096e-09	1.45801002001365e-07	chrX	7964023	7986601	+	protein_coding	sn
FBgn0039593	63.8120696049177	1.27648735625606	0.217457368376072	5.87005796027334	4.35642812599264e-09	1.54401173705119e-07	chr3R	28670703	28672021	+	protein_coding	CG9989
FBgn0265512	100.676629581873	-1.2717223132784	0.221932797389061	-5.73021350715011	1.00304302547143e-08	3.41392858312239e-07	chr2R	10155915	10158931	-	protein_coding	mlt
FBgn0030326	208.729032298503	-1.00807339350023	0.176278342978791	-5.71864573075503	1.07376402973475e-08	3.62585593820275e-07	chrX	11704309	11705300	-	protein_coding	CG2444
FBgn0039485	86.6891794029857	1.09654813733072	0.195853604959937	5.59881518420363	2.15821729166368e-08	7.1748177172866e-07	chr3R	27101405	27102917	+	protein_coding	CG17189
FBgn0025836	128.465533359649	-1.04880362974951	0.18985957706144	-5.52410179134714	3.31175429682062e-08	1.07188364542756e-06	chrX	127448	140340	+	protein_coding	RhoGAP1A
FBgn0033368	96.3515926874842	1.0347438075083	0.198671305905374	5.20832036006821	1.90557714294573e-07	5.50307580977964e-06	chr2R	9044849	9060608	-	protein_coding	CG13743
FBgn0037223	37.0078320042312	-1.16170579696635	0.229739291524119	-5.05662653201134	4.26737770805879e-07	1.19222471016353e-05	chr3R	4243605	4245511	+	pseudogene	TwdlU
FBgn0010223	81.723829756862	-1.00079078320086	0.198606459774628	-5.03906461218089	4.67812547678622e-07	1.28603468635883e-05	chr3L	16662556	16667934	-	protein_coding	Galphaf
FBgn0063667	19.1507594687134	1.14107019125943	0.230914941383208	4.94151735883472	7.75169133376099e-07	2.03945572299595e-05	chr3L	1201870	1203036	-	protein_coding	CG32335
FBgn0002609	62.3327742779074	-1.05672228093519	0.214592904312157	-4.92431138076229	8.46579411216296e-07	2.20033685151581e-05	chr3R	26021822	26023127	+	protein_coding	E(spl)m3-HLH
FBgn0037678	50.8593837148193	1.11235790371638	0.226444268102884	4.912281123455	9.00228524843751e-07	2.3256807402364e-05	chr3R	9330884	9331885	-	protein_coding	CG16749
FBgn0250904	41.4422426564039	1.08291127887585	0.223764990838037	4.83950270692555	1.30164418640209e-06	3.21734933336333e-05	chrX	5614553	5616370	-	protein_coding	CG34434
FBgn0264343	57.1566285386695	1.03605483088489	0.216472067907556	4.78609014502201	1.70061697395067e-06	4.15561019532048e-05	chr2L	7227733	7228641	+	protein_coding	CG43799
FBgn0038237	43.4095878061772	-1.1058927041585	0.23287121220694	-4.74894553808461	2.0447999385749e-06	4.89895225507177e-05	chr3R	14513900	14558304	-	protein_coding	Pde6
FBgn0020376	61.5415395908162	-1.03815791455215	0.21986666209093	-4.72176138337334	2.33810897899921e-06	5.50932986617478e-05	chr2L	4120342	4121627	+	protein_coding	Sr-CIII
FBgn0028939	31.5876850119852	-1.09102393931051	0.232323700484733	-4.69613705805364	2.65127677660682e-06	6.17934807417302e-05	chr2L	13980125	13983269	+	protein_coding	NimC2
FBgn0036560	27.7142410668605	1.08900000108223	0.232752688074253	4.67878592549192	2.88578541674209e-06	6.67153140684553e-05	chr3L	16035484	16037227	+	protein_coding	CG5895
FBgn0035710	26.1617709383304	1.04897852055908	0.232922108631799	4.50355926588874	6.68247206849198e-06	0.000143648027397132	chr3L	6689326	6703521	-	protein_coding	SP1173
FBgn0035523	70.9981974167003	1.00481918903004	0.223762532978598	4.49056048684498	7.1035998086224e-06	0.000152318938896386	chr3L	4277961	4281585	+	protein_coding	CG1311
FBgn0038261	44.270576613608	1.00626359447393	0.224124341056107	4.48975595302263	7.13048208046689e-06	0.000152514076818365	chr3R	14798985	14801163	+	protein_coding	CG14856
FBgn0039178	23.5500555752701	1.04091737040338	0.232626396559571	4.47463136513324	7.65432554560179e-06	0.000162906079912225	chr3R	24283954	24288617	+	protein_coding	CG6356
FBgn0034636	24.7705189916857	-1.02853105665171	0.232167805833832	-4.43011921036052	9.41810111726878e-06	0.000195118486190373	chr2R	21560245	21576035	-	protein_coding	CG10440
